Original_Kalys_Name;Original_Kalys_Category;Kalys_Price;Matched_Sougui_Name;Matched_Category;Sougui_Reference
Sélection de verres Lella craquelé Bleu foncé;art-de-la-table, verres-gobelets-et-carafes;99;Set Gourmet l'éveil céramique Vet d'eau;Service de Table;SGE-001-NA
Pack Vera Craquelé;art-de-la-table, verres-gobelets-et-carafes;211;Set Gourmet l'éveil céramique Bleu Gris;Service de Table;SGE-002-NA
Pack Lella Marbré Miel;art-de-la-table, verres-gobelets-et-carafes;220;Set Gourmet l'éveil céramique Terracotta;Service de Table;SGE-003-NA
Diffuseur Nour;bougies-et-senteurs, la-touche-deco;55;Fouta artisanale en coton – 2m x 1m – Couleurs au choix;Esprit Romance;FOT-COT
Coffret ROMA Prestige;coffrets-cadeaux, prestige;220;Peti corbeille en fibre végétale;Gifts;CFV-002-MHN
Coffret ROMA;coffrets-cadeaux, premium;90;Mug Bohème en céramique artisanale – Avec sous-tasse;Gifts;MUG-BOH
Diffuseur Roma;bougies-et-senteurs, la-touche-deco;35;Porte-serviettes en céramique décoré fleurs;Esprit Romance;PSC-001-RL
Pack Roma;coffrets-cadeaux, les-essentiels-coffrets-cadeaux;47;Porte-serviettes en céramique décoré andalous;Gifts;PSC-002-RL
Duo Lella Marbré;coffrets-cadeaux, prestige;140;Petit mouton en Laine ;Gifts;PML-001-LR
Duo Vera;coffrets-cadeaux, prestige;137;Planche céramique calligraphie noire;Gifts;PC-005-RL
Coffret KARA Prestige;coffrets-cadeaux, prestige;190;Grande Corbeille en fibre végétale;Gifts;CFV-001-MHN
Le coffret Zouhour Prestige;coffrets-cadeaux, prestige;153;Peti corbeille en fibre végétale;Gifts;CFV-002-MHN
Coffret Héritage;coffrets-cadeaux, prestige;127;Mug Bohème en céramique artisanale – Avec sous-tasse;Gifts;MUG-BOH
Le coffret Mirath;coffrets-cadeaux, prestige;130;Couffin artisanal en fibre végétale – Elyssa;Gifts;SCO-ELY
Coffret Amwej Bleu GF;coffrets-cadeaux, prestige;109;Porte-serviettes en céramique décoré andalous;Gifts;PSC-002-RL
Coffret bougeoir Morgène;bougies-et-senteurs, coffrets-cadeaux, la-touche-deco, premium;74;Boîte rectangulaire en céramique avec couvercle décoré de motifs géométriques;Esprit Romance;BC-002-RL
Coffret Premium Noja;coffrets-cadeaux, premium;99.5;Planche céramique calligraphie noire;Gifts;PC-005-RL
Coffret Bloom Desk;coffrets-cadeaux, premium;60;Grande Corbeille en fibre végétale;Gifts;CFV-001-MHN
Coffret Tulipe;coffrets-cadeaux, premium;63;Peti corbeille en fibre végétale;Gifts;CFV-002-MHN
Coffret Premium Senteur;coffrets-cadeaux, premium;80.5;Mug Bohème en céramique artisanale – Avec sous-tasse;Gifts;MUG-BOH
Coffret Zen Attitude;coffrets-cadeaux, premium;100;Couffin artisanal en fibre végétale – Elyssa;Gifts;SCO-ELY
Boite Amwej PF;les-rangements, rangements;49;Bougie Parfumée Sougui;Couffins & Foutas;BP-001-SO
Coffret Fleur;coffrets-cadeaux, les-essentiels-coffrets-cadeaux;32;Petit mouton en Laine ;Gifts;PML-001-LR
Coffret Cube Parfumé;coffrets-cadeaux, les-essentiels-coffrets-cadeaux;42;Planche céramique calligraphie noire;Gifts;PC-005-RL
Coffret Zen;coffrets-cadeaux, les-essentiels-coffrets-cadeaux;52;Grande Corbeille en fibre végétale;Gifts;CFV-001-MHN
Le coffret Zouhour;coffrets-cadeaux, les-essentiels-coffrets-cadeaux;57;Peti corbeille en fibre végétale;Gifts;CFV-002-MHN
Coffret set Chourouk;coffrets-cadeaux, les-essentiels-coffrets-cadeaux;49;Mug Bohème en céramique artisanale – Avec sous-tasse;Gifts;MUG-BOH
La boite Amwej Bleu GF;les-rangements, rangements;89;Fouta artisanale en coton – 2m x 1m – Couleurs au choix;Couffins & Foutas;FOT-COT
Le Coffret Gratitude Vert pastel;coffrets-cadeaux, nouveautes, premium;85;Porte-serviettes en céramique décoré andalous;Gifts;PSC-002-RL
Le Coffret Gratitude Beige;coffrets-cadeaux, nouveautes, premium;85;Petit mouton en Laine ;Gifts;PML-001-LR
Le mini couffin AMAL Vert;nouveautes, rangements;180;Bon d'achat de 100dt;Couffins & Foutas;BA
Le mini couffin AMAL Gold;nouveautes, rangements;180;Fouta artisanale en coton – 2m x 1m – Couleurs au choix;Couffins & Foutas;FOT-COT
Le mini couffin AMAL Lilas;nouveautes, rangements;180;Diffuseur Sougui;Couffins & Foutas;DS-001-SO
Le Coffret Chourouk Rose;coffrets-cadeaux, nouveautes, premium;75;Mug Bohème en céramique artisanale – Avec sous-tasse;Gifts;MUG-BOH
Le Coffret Chourouk Vert Pastel;coffrets-cadeaux, nouveautes, premium;75;Couffin artisanal en fibre végétale – Elyssa;Gifts;SCO-ELY
Le Coffret Chourouk Terracotta;coffrets-cadeaux, nouveautes, premium;75;Porte-serviettes en céramique décoré andalous;Gifts;PSC-002-RL
Sélection de verres Lella craquelé Transparent;art-de-la-table, verres-gobelets-et-carafes;99;Carafe et 6 Gobelets « Olivéa » en Grès – Élégance Naturelle et Authentique;Service de Table;CGO-001-2M
Pack LELLA Craquelé Turquoise;art-de-la-table, verres-gobelets-et-carafes;164;Duo de Bouteilles avec Support « Olivéa » en Grès;Service de Table;DBO-001-2M
Le bougeoir Morgène;bougies-et-senteurs, la-touche-deco;70;Pack  saint valentin duo envoutant : planche + tasse;Esprit Romance;PDE-001-KER
Le pack Amwej;les-rangements, rangements;138;Fouta artisanale en coton – 2m x 1m – Couleurs au choix;Couffins & Foutas;FOT-COT
Le bougeoir Sahara PF;bougies-et-senteurs, la-touche-deco;70;Transport marchnadise Sfax tunis ( béton);Esprit Romance;Transport
Duo Sahara PF;bougies-et-senteurs, la-touche-deco;140;Papier A3 350 G;Esprit Romance;Papier A3 350 G
Le bougeoir Sahara MF;bougies-et-senteurs, la-touche-deco;75;Pack Andalous en Céramique – Élégance et Tradition;Esprit Romance;PAC-001-RL
Le bougeoir Sahara GF;bougies-et-senteurs, la-touche-deco;80;Set Calligraphie Arabe – Cruche, Sous-Plat & Planche en Céramique;Esprit Romance;SCA-001-RL
Le pack Mirath;bougies-et-senteurs, la-touche-deco;110;Pack Ottoman en Céramique – Élégance et Artisanat;Esprit Romance;POC-001-RL
Le pack Zouhour Premium;bougies-et-senteurs, la-touche-deco;93;Set Royal ottomans – Élégance Artisanale (8 Pièces);Esprit Romance;SRO-001-RL
Le pack Zouhour Prestige;bougies-et-senteurs, la-touche-deco;133;Magnet Fridge en bois d'olivier;Esprit Romance;MFB-001-BF
Le set Chourouk;art-de-la-table, verres-gobelets-et-carafes;45;Set de TABLE « olivéa » en grès ;Service de Table;SOV-001-NA
Le set Olea;art-de-la-table, les-bonnes-affaires, verres-gobelets-et-carafes;45;Set « Séli » en Grès Noirs;Service de Table;SSN-001-2M
Le pack Zouhour;bougies-et-senteurs, la-touche-deco;53;Couffin artisanal en fibre végétale – Anses cuir & fouta offerte;Esprit Romance;COU-CUIR-FOUTA-002
Le diffuseur Zouhour;bougies-et-senteurs, la-touche-deco;45;Set Gourmet l'éveil céramique Vet d'eau;Esprit Romance;SGE-001-NA
Pack Prestige carré;coffrets-cadeaux, prestige;160.5;Planche céramique calligraphie noire;Gifts;PC-005-RL
Coffret Lella Prestige;coffrets-cadeaux, prestige;190;Grande Corbeille en fibre végétale;Gifts;CFV-001-MHN
Pack Zen Attitude;bougies-et-senteurs, la-touche-deco;96;Set de TABLE « Organica »;Esprit Romance;SO-001-NA
Pack Zen;bougies-et-senteurs, la-touche-deco;48;Set de TABLE « Astéria »;Esprit Romance;SA-001-NA
Pack Cube Parfumé;bougies-et-senteurs, la-touche-deco;38;Set de TABLE « olivéa » en grès ;Esprit Romance;SOV-001-NA
Pack Premium Senteur;bougies-et-senteurs, la-touche-deco;65.5;Set « Séli » en Grès Noirs;Esprit Romance;SSN-001-2M
Pack Fleur;bougies-et-senteurs, la-touche-deco;28;Set « Séa » en Grès Blanc Moucheté;Esprit Romance;SSB-001-2M
Pack Premium Noja;bougies-et-senteurs, la-touche-deco;95.5;Carafe et 6 Gobelets « Olivéa » en Grès – Élégance Naturelle et Authentique;Esprit Romance;CGO-001-2M
Pack Lotus Bloom Desk;art-de-la-table, verres-gobelets-et-carafes;56;Set de TABLE « Organica »;Service de Table;SO-001-NA
Service à thé Tulipe;art-de-la-table, verres-gobelets-et-carafes;59;Set de TABLE « Astéria »;Service de Table;SA-001-NA
Pack Prestige rectangulaire;bougies-et-senteurs, coffrets-cadeaux, la-touche-deco, prestige;162.5;Carafe et 6 Gobelets « Séli » en Grès – Élégance Naturelle et Authentique;Esprit Romance;CGS-002-2M
Pack Héritage;bougies-et-senteurs, la-touche-deco;110;Boudha en béton noir;Esprit Romance;BB-001-FP
Coffret Duo Lella;coffrets-cadeaux, prestige;118;Porte-serviettes en céramique décoré andalous;Gifts;PSC-002-RL
La boîte MINA Jaune;les-rangements, rangements;24;Diffuseur Sougui;Couffins & Foutas;DS-001-SO
La boîte MINA Rose;les-rangements, rangements;24;Bougie Parfumée Sougui;Couffins & Foutas;BP-001-SO
Pack LELLA Craquelé Bleu foncé;art-de-la-table, verres-gobelets-et-carafes;164;Carafe et 6 Gobelets « Séa » en Grès – Élégance Naturelle et Authentique;Service de Table;CGS-001-2M
Le sac ELISSA Vert;nouveautes, rangements;390;Fouta artisanale en coton – 2m x 1m – Couleurs au choix;Couffins & Foutas;FOT-COT
Le sac ELISSA Corail;nouveautes, rangements;390;Diffuseur Sougui;Couffins & Foutas;DS-001-SO
Le sac ELISSA Cognac;nouveautes, rangements;390;Bougie Parfumée Sougui;Couffins & Foutas;BP-001-SO
Le diffuseur Dar Vert pastel;bougies-et-senteurs, les-bonnes-affaires;36;Verre de thé avec base en cuivre;Esprit Romance;VTC-001-KB
Pack LELLA Craquelé Miel;art-de-la-table, verres-gobelets-et-carafes;164;Set Gourmet l'éveil céramique Bleu Gris;Service de Table;SGE-002-NA
La carafe Lella Miel;art-de-la-table, verres-gobelets-et-carafes;65;Set Gourmet l'éveil céramique Terracotta;Service de Table;SGE-003-NA
Service de table Rimel Vert Forêt;art-de-la-table, assiettes-et-plats;295;Set de TABLE « Organica »;Service de Table;SO-001-NA
Le diffuseur Dar Beige;bougies-et-senteurs, les-bonnes-affaires;36;Service à Café Oriental en Métal Martelé avec Plateau;Esprit Romance;SCC-001-KB
Le diffuseur Dar Noir;bougies-et-senteurs, les-bonnes-affaires;36;Service à Thé Martelé avec Plateau – Théière et Verres;Esprit Romance;STC-001-KB
Le cône Nassije;les-bonnes-affaires, luminaires, luminaires-suspendus;300;Remplissage 7 ( cire );Luminaires;P-00002
L'entonnoir Nassije;les-bonnes-affaires, luminaires, luminaires-suspendus;300;Collection Sidi Bou – Photophores artisanaux en cire parfumée;Luminaires;SDB-PPH
La tour Nassije;luminaires, luminaires-suspendus;240;Veilleuse de lit en fibre végétale;Luminaires;VL-001-MHN
La petite boîte NOJA Marron;les-rangements, rangements;40;Fouta artisanale en coton – 2m x 1m – Couleurs au choix;Couffins & Foutas;FOT-COT
Pack Luxe Bleu d'eau;bougies-et-senteurs, la-touche-deco;137.5;Carafe Tanit en verre craquelé;Esprit Romance;CVT-001-OD
Le bougeoir Héritage Rouge;bougies-et-senteurs, la-touche-deco, nouveautes;55;Carafe Magon  en verre craquelé;Esprit Romance;CVC-003-OD
La boîte MINA Beige;les-rangements, rangements;24;Bon d'achat de 100dt;Couffins & Foutas;BA
Le diffuseur ZEN Blanc;bougies-et-senteurs;40;Verre en verre craquelé type 2 Chope;Esprit Romance;VVC-002-OD
Pack LELLA Craquelé Transparent;art-de-la-table, verres-gobelets-et-carafes;164;Set Gourmet l'éveil céramique Vet d'eau;Service de Table;SGE-001-NA
Le diffuseur ZEN Vert Pastel;bougies-et-senteurs;40;Verre en verre craquelé type 4 a pied tp12b;Esprit Romance;VVC-004-OD
Le diffuseur ZEN Beige;bougies-et-senteurs;40;Verre en verre craquelé type 5 a pied tige long;Esprit Romance;VVC-005-OD
Le couffin AMAL Blanc;rangements;210;Fouta artisanale en coton – 2m x 1m – Couleurs au choix;Couffins & Foutas;FOT-COT
Le couffin AMAL marron;nouveautes, rangements;210;Diffuseur Sougui;Couffins & Foutas;DS-001-SO
Sélection verres à pied craquelé Transparent;art-de-la-table, verres-gobelets-et-carafes;185;Set de TABLE « olivéa » en grès ;Service de Table;SOV-001-NA
Pack Kara Craquelé Bleu foncé;verres-gobelets-et-carafes;164;Bonbonnières en verre soufflé & cuivre martelé;Verres;BVC-002-SO
Service de table Rimel Vert d'eau | Miel;art-de-la-table, assiettes-et-plats;295;Set « Séa » en Grès Blanc Moucheté;Service de Table;SSB-001-2M
Sélection de verres craquelé Transparent;art-de-la-table, verres-gobelets-et-carafes;99;Carafe et 6 Gobelets « Olivéa » en Grès – Élégance Naturelle et Authentique;Service de Table;CGO-001-2M
La carafe KARA Transparent;art-de-la-table, verres-gobelets-et-carafes;65;Duo de Bouteilles avec Support « Olivéa » en Grès;Service de Table;DBO-001-2M
Pack KARA Craquelé Transparent;art-de-la-table, verres-gobelets-et-carafes;164;Carafe et 6 Gobelets « Séa » en Grès – Élégance Naturelle et Authentique;Service de Table;CGS-001-2M
Service de table Rimel Vert d'eau;art-de-la-table, assiettes-et-plats;295;Carafe et 6 Gobelets « Séli » en Grès – Élégance Naturelle et Authentique;Service de Table;CGS-002-2M
La suspension Ksour;luminaires, luminaires-suspendus;600;Veilleuse de lit en fibre végétale;Luminaires;VL-001-MHN
La suspension Noor;luminaires, luminaires-suspendus;750;Bougie Piccolo en béton;Luminaires;BPB-001-FP
Le bougeoir Héritage Blanc;bougies-et-senteurs, la-touche-deco, nouveautes;55;Ensemble de vases en céramique avec motifs berbères;Esprit Romance;VC-002-RL
Le bougeoir Héritage Noir;bougies-et-senteurs, la-touche-deco, nouveautes;55;Planche céramique calligraphie bleue;Esprit Romance;PC-001-RL
Plateau Douz carré;la-touche-deco, les-rangements, mobiliers-et-objets-deco, rangements;90;Diffuseur Sougui;Couffins & Foutas;DS-001-SO
La table Douz PM;la-touche-deco, mobiliers-et-objets-deco;300;Bouteille en Céramique à Motif Fleurs;Déco;BCL-006-RL
Plateau Douz rectangle;la-touche-deco, les-rangements, mobiliers-et-objets-deco, rangements;90;Bon d'achat de 100dt;Couffins & Foutas;BA
La table Douz GM;la-touche-deco, mobiliers-et-objets-deco;550;Boîte rectangulaire en céramique avec couvercle décoré de motifs géométriques;Déco;BC-002-RL
Le petit disque Noja nature;art-de-la-table, accessoires-de-table, les-rangements, rangements;30;Set « Séli » en Grès Noirs;Service de Table;SSN-001-2M
Le petit disque Noja marron;art-de-la-table, accessoires-de-table, les-rangements, rangements;30;Set « Séa » en Grès Blanc Moucheté;Service de Table;SSB-001-2M
Le petit disque Noja Bleu d'eau;art-de-la-table, accessoires-de-table, les-rangements, rangements;30;Carafe et 6 Gobelets « Olivéa » en Grès – Élégance Naturelle et Authentique;Service de Table;CGO-001-2M
Galet Vert;bougies-et-senteurs, la-touche-deco;20;Duo Vase Noir;Esprit Romance;DV-001-RES
Galet Beige;bougies-et-senteurs, la-touche-deco;20;Duo Vase Beige;Esprit Romance;DV-002-RES
Galet Rose;bougies-et-senteurs, la-touche-deco;20;Vase Beige en U;Esprit Romance;VB-001-RES
Le cube à parfum Noir;bougies-et-senteurs, la-touche-deco;30;Vase Beige triangle;Esprit Romance;VB-002-RES
La boîte Elodie PF vert d'eau;les-rangements;18;Fouta artisanale en coton – 2m x 1m – Couleurs au choix;Couffins & Foutas;FOT-COT
La boîte Elodie PF beige;les-rangements, rangements;18;Diffuseur Sougui;Couffins & Foutas;DS-001-SO
La boîte Elodie GF beige;les-rangements, rangements;25;Bougie Parfumée Sougui;Couffins & Foutas;BP-001-SO
La boîte Elodie GF vert d'eau;les-rangements, rangements;25;Bon d'achat de 100dt;Couffins & Foutas;BA
