Num_facture;Date;Nom;Matricule_fiscal;Adresse;Montant_Total_HT;TVA;Timbre;Total_TTC;Type
DEV25-01;16/01/2025;Attijari Bank;000121J/P/M000;24 Av Hedi Karray, Tunis 1080;58025.0;11024.75;1.0;69050.75;Devis
DEV25-05;19/02/2025;Attijari Bank;000121J/P/M000;24 Av Hedi Karray, Tunis 1080;3750.0;713.5;1.0;4463.5;Devis
FAC25-07;10/02/2025;Attijari Bank;000121J/P/M000;24 Av Hedi Karray, Tunis 1080;58025.0;10739.75;1.0;67265.75;Facture
FAC25-10;05/03/2025;Attijari Bank;000121J/P/M000;24 Av Hedi Karray, Tunis 1080;56525.0;10739.75;1.0;67265.75;Facture
FAC25-12;27/03/2025;Attijari Bank;000121J/P/M000;24 Av Hedi Karray, Tunis 1080;56525.0;10739.75;1.0;67265.75;Facture
DEV25-04;11/02/2025;Attijari Leasing;496311P/A/M/000;Rue Lac d'Annecy , les Berges du Lac, 1059, Tunis;2194.5;416.96;1.0;2612.46;Devis
FAC25-11;06/03/2025;Attijari Leasing;496311P/A/M/000;Rue Lac d'Annecy , les Berges du Lac, 1059, Tunis;2194.5;416.95;1.0;2612.455;Facture
DEV25-08;03/11/2025;Bank ABC Tunis;0048074BNM00;Rue du Lac d'Annecy , Tunis 1053;7475.0;1421.25;1.0;8896.25;Devis
DEV25-13;05/12/2025;Bank ABC Tunis;0048074BNM00;Rue du Lac d'Annecy , Tunis 1053;300.0;57.0;1.0;358.0;Devis
FAC25-32;26/11/2025;Bank ABC Tunis;0048074BNM00;Rue du Lac d'Annecy , Tunis 1053;7475.0;1420.25;1.0;8896.25;Facture
FAC25-36;15/12/2025;Bank ABC Tunis;0048074BNM00;Rue du Lac d'Annecy , Tunis 1053;300.0;57.0;1.0;358.0;Facture
FAC25-37;15/12/2025;Bank ABC Tunis;0048074BNM00;Rue du Lac d'Annecy , Tunis 1053;7475.0;1420.25;1.0;8896.25;Facture
FAC25-13;11/04/2025;Digital Services Value;1618500D;Rue du Lac Constance, Imm El Majd B1 1053 - Les Berges du Lac;224.34;42.62;1.0;267.965;Facture
DEV24-24;25/12/2024;Everience;1144512Z;21 rue Jérusalem SANA Business Center, Tunis 100;59501.0;11305.19;1.0;70807.19;Devis
FAC25-02;03/01/2025;Everience;1144512Z;21 rue Jérusalem SANA Business Center, Tunis 100;50000.0;9500.0;1.0;59501.0;Facture
DEV24-17;25/10/2024;Focus Tunisie;11427279R;Z.I Chotrana II, Ariana 2036, Ariana, Tunisia;15750.0;2992.5;1.0;18743.5;Devis
DEV24-18;25/10/2024;Focus Tunisie;11427279R;Z.I Chotrana II, Ariana 2036, Ariana, Tunisia;14850.0;2821.5;1.0;17672.5;Devis
DEV24-19;25/10/2024;Focus Tunisie;11427279R;Z.I Chotrana II, Ariana 2036, Ariana, Tunisia;14400.0;2736.0;1.0;17137.0;Devis
DEV24-20;25/10/2024;Focus Tunisie;11427279R;Z.I Chotrana II, Ariana 2036, Ariana, Tunisia;9900.0;1881.0;1.0;11782.0;Devis
DEV25-14;22/12/2025;IACE;552390/Y/P/N/000;Rue du Lac Turkana , Tunis 1053;2460.0;467.4;1.0;2928.4;Devis
DEV25-06;16/10/2025;Lilas;492586 Z/A/M/000;5 Rue de l'énergie éolienne ZI Charguia 1 ,Tunis Carthage 2035;8385.0;1594.15;1.0;9979.15;Devis
DEV25-07;23/10/2025;Lilas;492586 Z/A/M/000;5 Rue de l'énergie éolienne ZI Charguia 1 ,Tunis Carthage 2035;5935.0;1128.65;1.0;7063.65;Devis
DEV25-12;24/11/2025;Lilas;492586 Z/A/M/000;5 Rue de l'énergie éolienne ZI Charguia 1 ,Tunis Carthage 2035;2250.0;427.5;1.0;2678.5;Devis
FAC25-29;18/11/2025;Lilas;492586 Z/A/M/000;5 Rue de l'énergie éolienne ZI Charguia 1 ,Tunis Carthage 2035;1785.0;339.15;1.0;2125.15;Facture
FAC25-38;16/12/2025;N N FOOD;1641187;18 Rue Mokhtar Attia Megrine,Ben;1720.0;326.8;1.0;2047.8;Facture
FAC24-01;30/09/2024;SAMFI;1070417T/A/M/000;2 R/Etoiles IM CHAMS Cité Romana 2000;560.0;106.4;1.0;667.4;Facture
FAC24-02;08/11/2024;SAMFI;1070417T/A/M/000;2 R/Etoiles IM CHAMS Cité Romana 2000;584.0;110.96;1.0;695.96;Facture
FAC24-02;09/12/2024;SAMFI;1070417T/A/M/000;2 R/Etoiles IM CHAMS Cité Romana 2000;544.0;103.36;1.0;648.36;Facture
FAC25-01;02/01/2025;SAMFI;1070417T/A/M/000;2 R/Etoiles IM CHAMS Cité Romana 2000;352.0;66.88;1.0;419.88;Facture
FAC25-05;03/02/2025;SAMFI;1070417T/A/M/000;2 R/Etoiles IM CHAMS Cité Romana 2000;416.0;79.04;1.0;496.04;Facture
FAC25-08;02/03/2025;SAMFI;1070417T/A/M/000;2 R/Etoiles IM CHAMS Cité Romana 2000;527.0;100.13;1.0;628.13;Facture
FAC25-13;03/04/2025;SAMFI;1070417T/A/M/000;2 R/Etoiles IM CHAMS Cité Romana 2000;352.0;66.88;1.0;419.88;Facture
FAC25-15;30/04/2025;SAMFI;1070417T/A/M/000;2 R/Etoiles IM CHAMS Cité Romana 2000;576.0;109.44;1.0;686.44;Facture
FAC25-18;29/05/2025;SAMFI;1070417T/A/M/000;2 R/Etoiles IM CHAMS Cité Romana 2000;276.0;52.44;1.0;329.44;Facture
FAC25-20;01/07/2025;SAMFI;1070417T/A/M/000;2 R/Etoiles IM CHAMS Cité Romana 2000;384.0;72.96;1.0;457.96;Facture
FAC25-21;19/08/2025;SAMFI;1070417T/A/M/000;2 R/Etoiles IM CHAMS Cité Romana 2000;320.0;60.8;1.0;381.8;Facture
FAC25-23;11/09/2025;SAMFI;1070417T/A/M/000;2 R/Etoiles IM CHAMS Cité Romana 2000;484.0;91.96;1.0;576.96;Facture
FAC25-26;14/10/2025;SAMFI;1070417T/A/M/000;2 R/Etoiles IM CHAMS Cité Romana 2000;224.0;42.56;1.0;267.56;Facture
FAC25-30;21/11/2025;SAMFI;1070417T/A/M/000;2 R/Etoiles IM CHAMS Cité Romana 2000;352.0;66.88;1.0;419.88;Facture
FAC25-34;12/12/2025;SBCD;849384V/A/M/000;Avenue Taher B,Ammar cité Essada 2 , 1092, Manar 2 , Tunis;605.0;114.95;1.0;720.95;Facture
DEV25-02;05/02/2025;SIRYOS;27327261R;Rue Safia Chamia, Immobilière Khairi, 5ème étage Centre Urbain nord;8600.0;1634.0;1.0;10235.0;Devis
DEV25-03;10/02/2025;SIRYOS;27327261R;Rue Safia Chamia, Immobilière Khairi, 5ème étage Centre Urbain nord;3300.0;627.0;1.0;3928.0;Devis
FAC25-03;06/01/2025;SOTIC;46020C/A/M;152 Avenue 2 Mars GP1 KH 14 , Hammam Lif 2050;160.0;30.4;1.0;191.4;Facture
FAC25-06;03/02/2025;SOTIC;46020C/A/M;152 Avenue 2 Mars GP1 KH 14 , Hammam Lif 2050;160.0;30.4;1.0;191.4;Facture
FAC25-09;02/03/2025;SOTIC;46020C/A/M;152 Avenue 2 Mars GP1 KH 14 , Hammam Lif 2050;224.0;42.56;1.0;267.56;Facture
FAC25-14;03/04/2025;SOTIC;46020C/A/M;152 Avenue 2 Mars GP1 KH 14 , Hammam Lif 2050;256.0;48.64;1.0;305.64;Facture
FAC25-16;30/04/2025;SOTIC;46020C/A/M;152 Avenue 2 Mars GP1 KH 14 , Hammam Lif 2050;303.0;57.57;1.0;361.57;Facture
FAC25-17;29/05/2025;SOTIC;46020C/A/M;152 Avenue 2 Mars GP1 KH 14 , Hammam Lif 2050;224.0;42.56;1.0;267.56;Facture
FAC25-19;01/07/2025;SOTIC;46020C/A/M;152 Avenue 2 Mars GP1 KH 14 , Hammam Lif 2050;192.0;36.48;1.0;229.48;Facture
FAC25-22;19/08/2025;SOTIC;46020C/A/M;152 Avenue 2 Mars GP1 KH 14 , Hammam Lif 2050;32.0;6.08;1.0;39.08;Facture
FAC25-24;11/09/2025;SOTIC;46020C/A/M;152 Avenue 2 Mars GP1 KH 14 , Hammam Lif 2050;128.0;24.32;1.0;153.32;Facture
FAC25-25;14/10/2025;SOTIC;46020C/A/M;152 Avenue 2 Mars GP1 KH 14 , Hammam Lif 2050;96.0;18.24;1.0;115.24;Facture
FAC25-31;21/11/2025;SOTIC;46020C/A/M;152 Avenue 2 Mars GP1 KH 14 , Hammam Lif 2050;96.0;18.24;1.0;115.24;Facture
FAC25-33;10/12/2025;T T E INTERNATIONAL;745311C/A/M/000;16 Rue des entrepreneurs , Charguia 2 , 2035;470.0;89.3;1.0;560.3;Facture
FAC25-14;15/04/2025;Transider;0608330Q/A/M/000;Lot n 41 ZI rades tunis;150.0;28.5;1.0;179.5;Facture
DEV24-15;09/10/2024;Tunis Call Center;0633781K/A/M/000;2 Rue d'Argentine , Tunis Belvédère , Tunis 1002 Tunisie;105552.0;20054.88;1.0;125607.88;Devis
DEV24-21;28/10/2024;Tunis Call Center;0633781K/A/M/000;2 Rue d'Argentine , Tunis Belvédère , Tunis 1002 Tunisie;18240.0;3465.6;1.0;21706.6;Devis
DEV24-22;29/10/2024;Tunis Call Center;0633781K/A/M/000;2 Rue d'Argentine , Tunis Belvédère , Tunis 1002 Tunisie;19000.0;3610.0;1.0;22611.0;Devis
DEV24-23;30/10/2024;Tunis Call Center;0633781K/A/M/000;2 Rue d'Argentine , Tunis Belvédère , Tunis 1002 Tunisie;500.0;95.0;1.0;596.0;Devis
DEV25-09;07/11/2025;Tunis Call Center;0633781K/A/M/000;2 Rue d'Argentine , Tunis Belvédère , Tunis 1002 Tunisie;24075.0;276.86;1.0;24352.86;Devis
DEV25-10;12/11/2025;Tunis Call Center;0633781K/A/M/000;2 Rue d'Argentine , Tunis Belvédère , Tunis 1002 Tunisie;17167.5;197.43;1.0;17365.93;Devis
DEV26-01;07/01/2026;Tunis Call Center;0633781K/A/M/000;2 Rue d'Argentine , Tunis Belvédère , Tunis 1002 Tunisie;763.0;8.77;1.0;772.77;Devis
FAC24-02;13/11/2024;Tunis Call Center;0633781K/A/M/000;2 Rue d'Argentine , Tunis Belvédère , Tunis 1002 Tunisie;19500.0;3705.0;1.0;23206.0;Facture
FAC25-35;15/12/2025;Tunis Call Center;0633781K/A/M/000;2 Rue d'Argentine , Tunis Belvédère , Tunis 1002 Tunisie;17167.5;197.43;1.0;17365.926;Facture
DEV24-16;25/10/2024;WIFAK INTERNATIONAL BANK ;0798651L/P/M/000;Zone D'activités Kheireddine, Les Berges du Lac III 2015 Kram;26784.0;5088.96;1.0;31873.96;Devis
DEV25-06;08/04/2025;WIFAK INTERNATIONAL BANK ;0798651L/P/M/000;Zone D'activités Kheireddine, Les Berges du Lac III 2015 Kram;250.0;48.5;1.0;298.5;Devis
DEV25-11;12/11/2025;WIFAK INTERNATIONAL BANK ;0798651L/P/M/000;Zone D'activités Kheireddine, Les Berges du Lac III 2015 Kram;200.0;38.0;1.0;239.0;Devis
FAC24-02;30/10/2024;WIFAK INTERNATIONAL BANK ;0798651L/P/M/000;Zone D'activités Kheireddine, Les Berges du Lac III 2015 Kram;26784.0;5088.96;1.0;31873.96;Facture
FAC24-02;10/12/2024;WIFAK INTERNATIONAL BANK ;0798651L/P/M/000;Zone D'activités Kheireddine, Les Berges du Lac III 2015 Kram;26784.0;5088.96;1.0;31873.96;Facture
FAC25-04;16/01/2025;WIFAK INTERNATIONAL BANK ;0798651L/P/M/000;Zone D'activités Kheireddine, Les Berges du Lac III 2015 Kram;186.0;35.34;1.0;222.34;Facture
FAC25-27;17/10/2025;WIFAK INTERNATIONAL BANK ;0798651L/P/M/000;Zone D'activités Kheireddine, Les Berges du Lac III 2015 Kram;200.0;38.0;1.0;239.0;Facture
FAC25-28;17/11/2025;WIFAK INTERNATIONAL BANK ;0798651L/P/M/000;Zone D'activités Kheireddine, Les Berges du Lac III 2015 Kram;200.0;38.0;1.0;239.0;Facture
